"Variable","Coefficient","SE","z_value","p_value","Odds_Ratio","Significance"
"PowertrainBEV",-0.061149040201669,0.168620532824887,-0.362642906989107,0.716871653890506,0.940683029739344,""
"Purchase_PriceRMB 150,000–170,000",-0.087192382584668,0.117313956327741,-0.743239639289617,0.457336608463872,0.916500759886696,""
"Purchase_PriceRMB 190,000–210,000",-0.231700881084372,0.128825250957185,-1.79856727902963,0.0720871572023264,0.793183343968063,"."
"Monthly_Operating_CostRMB 300/month",0.757854257694088,0.162562565504707,4.66192358210625,3.13267517932547e-06,2.13369294976625,"***"
"Monthly_Operating_CostRMB 600/month",0.390197240000812,0.201314263492256,1.9382493482178,0.052592808773997,1.47727214230746,"."
"ConvenienceEasy",0.699079002476074,0.167375088150643,4.1767207426166,2.95741734865028e-05,2.01189890002017,"***"
"ConvenienceModerate",0.377664617970499,0.167412253987544,2.25589590352566,0.0240771511436608,1.45887358083644,"*"
"Smart_CockpitAdvanced",0.214162794091117,0.182674731178172,1.17237229643017,0.24104761706596,1.2388243116566,""
"Smart_CockpitIntermediate",0.227240249662751,0.150061362053682,1.51431552101639,0.129945833854145,1.25513137661009,""
"Cabin_ComfortImproved",-0.857885742556103,1.05533710198557,-0.812902096346305,0.416274192510007,0.424057702352302,""
"Cabin_ComfortPremium",-0.16545967075625,0.401576196476122,-0.412025593668592,0.68032066417856,0.847504041712799,""
"ReliabilityHigh",-0.251730245458624,0.519322672993179,-0.484728009288996,0.627869295305534,0.777454431648427,""
"ReliabilityMedium",0.35041290752949,0.153105261634257,2.28870584713522,0.022096449067614,1.41965361325586,"*"
