Model,Subgroup_variable,Subgroup_level,n_respondents,n_choice_sets,n_observations,Variable,Coefficient,SE,z_value,p_value,Odds_Ratio,Significance
M56 subgroup: Charging_access_binary = Home charging access,Charging_access_binary,Home charging access,53,517,1034,PowertrainBEV:ReliabilityHigh,0.03946603589037447,0.6801904298902632,0.05802203935262897,0.9537310732332245,1.0402551669444238,
M56 subgroup: Charging_access_binary = Home charging access,Charging_access_binary,Home charging access,53,517,1034,PowertrainBEV:ReliabilityMedium,0.2597346822274269,0.6950477296801232,0.37369330354760344,0.7086325079780003,1.296586033707695,
M56 subgroup: Charging_access_binary = Home charging access,Charging_access_binary,Home charging access,53,517,1034,PowertrainBEV:Smart_CockpitAdvanced,0.05720807021782647,0.37784402493948177,0.1514065763696788,0.8796550020758503,1.058876108058469,
M56 subgroup: Charging_access_binary = Home charging access,Charging_access_binary,Home charging access,53,517,1034,PowertrainBEV:Smart_CockpitIntermediate,-0.10533439962397136,0.46562578325308973,-0.2262211488548887,0.82102942252972555,0.9000235047373933,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,"Purchase_PriceRMB 150,000–170,000",0.15191296748186947,0.30732090034252296,0.4943138176172061,0.621084568151411,1.1640589210441588,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,"Purchase_PriceRMB 190,000–210,000",-0.10623023257410372,0.2616989155366333,-0.405925383207151,0.6847974267888122,0.8992175950600743,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,Monthly_Operating_CostRMB 300/month,1.2753074264437718,0.43138171698398203,2.956331657632876,0.0031132212667180467,3.5798017666800965,**
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,Monthly_Operating_CostRMB 600/month,0.5876890951424425,0.3366113171962081,1.7458982069812081,0.08082864151280357,1.7998243830001759,.
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,Cabin_ComfortImproved,-2.2813273043642144,1.9733234162863988,-1.1560838357948686,0.24764686703845026,0.1021485345006534,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,Cabin_ComfortPremium,-0.4270063873630873,0.7003544410586102,-0.6097004064365641,0.5420602852711977,0.6524593847196009,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,PowertrainBEV,-0.27503398026250925,0.30783183313548684,-0.8934552916801747,0.37161340414283556,0.7595463132033448,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,ReliabilityHigh,-0.20807036491436734,0.7698169959391721,-0.2702854912426592,0.7869406264293763,0.8121498878440134,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,ReliabilityMedium,0.6750098811316814,0.46288201940289075,1.4582763054880197,0.14476439855720294,1.9640523829341905,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,Smart_CockpitAdvanced,0.388918966037506,0.33751008071830735,1.1523180736106828,0.24919039271768081,1.4753849901969043,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,Smart_CockpitIntermediate,0.5748011889152929,0.31121870219038145,1.8469365268532945,0.06475634007011533,1.776777248785284,.
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,Convenience_intDifficult,-0.4596174266736575,0.22543410169414357,-2.038810558028354,0.04146893817935552,0.6315252039950241,*
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,Convenience_intEasy,0.19204705211066408,0.3231839129996879,0.5942345654774269,0.5523552369650583,1.2117275299614336,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,BEV_Easy,0.4806401418766321,0.6972477691826652,0.6893390888006038,0.49060990490787676,1.617109250282951,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,PowertrainBEV:ReliabilityHigh,-0.8584006816158911,0.6472097361629364,-1.3263099018025077,0.1847370683698081,0.42383939469015164,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,PowertrainBEV:ReliabilityMedium,-0.5124755066415058,0.7036451803248269,-0.7283152375248693,0.46642063683270696,0.5990108864598102,
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,PowertrainBEV:Smart_CockpitAdvanced,0.7214353500954347,0.43752882352448574,1.648886453431703,0.09917089889164293,2.0573841588641186,.
M56 subgroup: Charging_access_binary = No/uncertain charging access,Charging_access_binary,No/uncertain charging access,53,519,1038,PowertrainBEV:Smart_CockpitIntermediate,0.112858010471043,0.3351234427085337,0.33676549022921914,0.7362936898059517,1.1194729682237516,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,"Purchase_PriceRMB 150,000–170,000",0.1430483526487733,0.45595410646467077,0.31373410310508365,0.7537229970172212,1.1537855889066093,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,"Purchase_PriceRMB 190,000–210,000",0.21063811859357243,0.39420947384432087,0.5343304323445979,0.5931129407928278,1.234465544092697,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,Monthly_Operating_CostRMB 300/month,1.2935744598034367,0.537372666184334,2.4072204285874563,0.01607446436470847,3.6457950405733355,*
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,Monthly_Operating_CostRMB 600/month,0.6852316669049788,0.4196532791511797,1.6328519302672355,0.10250014212510491,1.9842314630566698,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,Cabin_ComfortImproved,-5.255073854116441,2.523053604293677,-2.082822911559815,0.03726736835687969,0.005220960688301043,*
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,Cabin_ComfortPremium,-1.1947297217518624,0.944946807188329,-1.264335423606285,0.20610966025622976,0.3027857795338918,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,PowertrainBEV,-0.027752784712488644,0.3893631110545205,-0.07127738587593771,0.9431769929006298,0.9726287857873183,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,ReliabilityHigh,-1.3401551024000973,1.1126560279169277,-1.2044648739369026,0.22840995072673478,0.26180505883808974,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,ReliabilityMedium,0.4363074728728971,0.6460093747646037,0.6753887635638123,0.4994288025008951,1.546984377362089,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,Smart_CockpitAdvanced,0.5345753410390688,0.49037356988675523,1.090138975398942,0.2756519298245151,1.7067233129925596,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,Smart_CockpitIntermediate,0.4163634615968723,0.44013171481666896,0.9459974084582907,0.3441499080408492,1.516436935308822,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,Convenience_intDifficult,-0.5285825511867164,0.300754043905934,-1.7575243355731556,0.07882847759148352,0.5894398786747128,.
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,Convenience_intEasy,0.8169423487465013,0.4822896440562381,1.693883247991202,0.09028747082428644,2.2635680437626386,.
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,BEV_Easy,-0.481910693098516,1.0648940316845013,-0.45254333178692546,0.6508776122204675,0.6176022154420522,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,PowertrainBEV:ReliabilityHigh,-0.6816165499193358,0.9477692452965382,-0.7191798565969204,0.47203010898357484,0.5057986823051809,
